GP,Date,Unnamed: 2,Opponent,GF,GA,Unnamed: 6,Unnamed: 7,W,L,T,OL,Streak,Season,Att.,LOG,Notes
62,2016-02-26,@,Carolina Hurricanes,4,1,W,,34,22,,6,W 2,2016,17917.0,2:27,
63,2016-02-28,,Tampa Bay Lightning,1,4,L,,34,23,,6,L 1,2016,17565.0,2:31,
64,2016-03-01,,Calgary Flames,2,1,W,,35,23,,6,W 1,2016,17565.0,2:28,
65,2016-03-03,,Chicago Blackhawks,4,2,W,,36,23,,6,W 2,2016,17565.0,2:25,
66,2016-03-05,,Washington Capitals,1,2,L,OT,36,23,,7,L 1,2016,17565.0,2:40,
67,2016-03-07,@,Florida Panthers,5,4,W,OT,37,23,,7,W 1,2016,19194.0,3:00,
68,2016-03-08,@,Tampa Bay Lightning,1,0,W,OT,38,23,,7,W 2,2016,19092.0,2:26,
69,2016-03-10,,Carolina Hurricanes,2,3,L,OT,38,23,,8,L 1,2016,17565.0,2:34,
70,2016-03-12,,New York Islanders,3,1,W,,39,23,,8,W 1,2016,17565.0,2:27,
71,2016-03-15,@,San Jose Sharks,2,3,L,,39,24,,8,L 1,2016,16624.0,2:30,
72,2016-03-18,@,Anaheim Ducks,0,4,L,,39,25,,8,L 2,2016,16707.0,2:20,
73,2016-03-19,@,Los Angeles Kings,1,2,L,,39,26,,8,L 3,2016,18373.0,2:26,
74,2016-03-23,@,New York Rangers,2,5,L,,39,27,,8,L 4,2016,18006.0,2:41,
75,2016-03-24,,Florida Panthers,1,4,L,,39,28,,8,L 5,2016,17565.0,2:45,
76,2016-03-26,@,Toronto Maple Leafs,3,1,W,,40,28,,8,W 1,2016,19185.0,2:38,
77,2016-03-29,@,New Jersey Devils,1,2,L,,40,29,,8,L 1,2016,15486.0,2:27,
78,2016-04-01,@,St. Louis Blues,6,5,W,,41,29,,8,W 1,2016,19202.0,2:40,
79,2016-04-03,@,Chicago Blackhawks,4,6,L,,41,30,,8,L 1,2016,22156.0,2:31,
80,2016-04-05,,Carolina Hurricanes,1,2,L,SO,41,30,,9,L 2,2016,17565.0,2:40,
81,2016-04-07,,Detroit Red Wings,5,2,W,,42,30,,9,W 1,2016,17565.0,2:28,
82,2016-04-09,,Ottawa Senators,1,6,L,,42,31,,9,L 1,2016,17565.0,2:37,
1,2016-10-13,@,Columbus Blue Jackets,6,3,W,,1,0,,0,W 1,2017,18144.0,2:29,
2,2016-10-15,@,Toronto Maple Leafs,1,4,L,,1,1,,0,L 1,2017,19466.0,2:23,
3,2016-10-17,@,Winnipeg Jets,4,1,W,,2,1,,0,W 1,2017,15296.0,2:36,
4,2016-10-20,,New Jersey Devils,2,1,W,,3,1,,0,W 2,2017,17565.0,2:37,
5,2016-10-22,,Montreal Canadiens,2,4,L,,3,2,,0,L 1,2017,17565.0,2:36,
6,2016-10-25,,Minnesota Wild,0,5,L,,3,3,,0,L 2,2017,17565.0,2:32,
7,2016-10-26,@,New York Rangers,2,5,L,,3,4,,0,L 3,2017,18006.0,2:31,
8,2016-10-29,@,Detroit Red Wings,1,0,W,,4,4,,0,W 1,2017,20027.0,2:45,
9,2016-11-01,@,Florida Panthers,2,1,W,,5,4,,0,W 2,2017,13808.0,2:44,
10,2016-11-03,@,Tampa Bay Lightning,4,3,W,SO,6,4,,0,W 3,2017,19092.0,3:04,
11,2016-11-05,,New York Rangers,2,5,L,,6,5,,0,L 1,2017,17565.0,2:24,
12,2016-11-07,,Buffalo Sabres,4,0,W,,7,5,,0,W 1,2017,17565.0,2:34,
13,2016-11-08,@,Montreal Canadiens,2,3,L,,7,6,,0,L 1,2017,21288.0,2:33,
14,2016-11-10,,Columbus Blue Jackets,5,2,W,,8,6,,0,W 1,2017,17565.0,2:26,
15,2016-11-12,@,Arizona Coyotes,2,1,W,,9,6,,0,W 2,2017,16531.0,2:35,
16,2016-11-13,@,Colorado Avalanche,2,0,W,,10,6,,0,W 3,2017,15808.0,2:31,
17,2016-11-17,@,Minnesota Wild,0,1,L,,10,7,,0,L 1,2017,18774.0,2:33,
18,2016-11-19,,Winnipeg Jets,4,1,W,,11,7,,0,W 1,2017,17565.0,2:21,
19,2016-11-22,,St. Louis Blues,2,4,L,,11,8,,0,L 1,2017,17565.0,2:32,
20,2016-11-24,@,Ottawa Senators,1,3,L,,11,9,,0,L 2,2017,17191.0,2:29,
21,2016-11-25,,Calgary Flames,1,2,L,,11,10,,0,L 3,2017,17565.0,2:42,
22,2016-11-27,,Tampa Bay Lightning,4,1,W,,12,10,,0,W 1,2017,17565.0,2:29,
23,2016-11-29,@,Philadelphia Flyers,2,3,L,SO,12,10,,1,L 1,2017,19558.0,2:57,
24,2016-12-01,,Carolina Hurricanes,2,1,W,SO,13,10,,1,W 1,2017,17565.0,2:48,
25,2016-12-03,@,Buffalo Sabres,2,1,W,,14,10,,1,W 2,2017,19070.0,2:39,
26,2016-12-05,,Florida Panthers,4,3,W,OT,15,10,,1,W 3,2017,17565.0,2:29,
27,2016-12-07,@,Washington Capitals,3,4,L,OT,15,10,,2,L 1,2017,18506.0,2:39,
28,2016-12-08,,Colorado Avalanche,2,4,L,,15,11,,2,L 2,2017,17565.0,2:21,
29,2016-12-10,,Toronto Maple Leafs,1,4,L,,15,12,,2,L 3,2017,17565.0,2:25,
30,2016-12-12,@,Montreal Canadiens,2,1,W,OT,16,12,,2,W 1,2017,21288.0,2:43,
31,2016-12-14,@,Pittsburgh Penguins,3,4,L,OT,16,12,,3,L 1,2017,18415.0,2:38,
32,2016-12-15,,Anaheim Ducks,3,4,L,,16,13,,3,L 2,2017,17565.0,2:36,
33,2016-12-18,,Los Angeles Kings,1,0,W,,17,13,,3,W 1,2017,17565.0,2:32,
34,2016-12-20,,New York Islanders,2,4,L,,17,14,,3,L 1,2017,17565.0,2:27,
35,2016-12-22,@,Florida Panthers,3,1,W,,18,14,,3,W 1,2017,14462.0,2:37,
36,2016-12-23,@,Carolina Hurricanes,2,3,L,OT,18,14,,4,L 1,2017,12924.0,2:29,
37,2016-12-27,@,Columbus Blue Jackets,3,4,L,,18,15,,4,L 2,2017,19005.0,2:33,
38,2016-12-29,@,Buffalo Sabres,4,2,W,,19,15,,4,W 1,2017,19070.0,2:43,
39,2016-12-31,,Buffalo Sabres,3,1,W,,20,15,,4,W 2,2017,17565.0,2:28,
40,2017-01-02,@,New Jersey Devils,0,3,L,,20,16,,4,L 1,2017,15141.0,2:25,
41,2017-01-05,,Edmonton Oilers,3,4,L,,20,17,,4,L 2,2017,17565.0,2:40,
42,2017-01-07,@,Florida Panthers,4,0,W,,21,17,,4,W 1,2017,16630.0,2:29,
43,2017-01-08,@,Carolina Hurricanes,3,4,L,OT,21,17,,5,L 1,2017,11820.0,2:28,
44,2017-01-10,@,St. Louis Blues,5,3,W,,22,17,,5,W 1,2017,19342.0,2:32,
45,2017-01-12,@,Nashville Predators,1,2,L,,22,18,,5,L 1,2017,17113.0,2:32,
46,2017-01-14,,Philadelphia Flyers,6,3,W,,23,18,,5,W 1,2017,17565.0,2:33,
47,2017-01-16,,New York Islanders,0,4,L,,23,19,,5,L 1,2017,17565.0,2:18,
48,2017-01-18,@,Detroit Red Wings,5,6,L,SO,23,19,,6,L 2,2017,20027.0,2:49,
49,2017-01-20,,Chicago Blackhawks,0,1,L,,23,20,,6,L 3,2017,17565.0,2:20,
50,2017-01-22,@,Pittsburgh Penguins,1,5,L,,23,21,,6,L 4,2017,18506.0,2:42,
51,2017-01-24,,Detroit Red Wings,4,3,W,OT,24,21,,6,W 1,2017,17565.0,2:45,
52,2017-01-26,,Pittsburgh Penguins,4,3,W,,25,21,,6,W 2,2017,17565.0,2:44,
53,2017-01-31,@,Tampa Bay Lightning,4,3,W,,26,21,,6,W 3,2017,19092.0,2:41,
54,2017-02-01,@,Washington Capitals,3,5,L,,26,22,,6,L 1,2017,18506.0,2:32,
55,2017-02-04,,Toronto Maple Leafs,5,6,L,,26,23,,6,L 2,2017,17565.0,2:53,
56,2017-02-09,,San Jose Sharks,6,3,W,,27,23,,6,W 1,2017,17565.0,2:31,
57,2017-02-11,,Vancouver Canucks,4,3,W,,28,23,,6,W 2,2017,17565.0,2:29,
58,2017-02-12,,Montreal Canadiens,4,0,W,,29,23,,6,W 3,2017,17565.0,2:36,
59,2017-02-19,@,San Jose Sharks,2,1,W,OT,30,23,,6,W 4,2017,17562.0,2:36,
60,2017-02-22,@,Anaheim Ducks,3,5,L,,30,24,,6,L 1,2017,15135.0,2:41,
61,2017-02-23,@,Los Angeles Kings,4,1,W,,31,24,,6,W 1,2017,18230.0,2:36,
62,2017-02-26,@,Dallas Stars,6,3,W,,32,24,,6,W 2,2017,18006.0,2:35,
63,2017-02-28,,Arizona Coyotes,4,1,W,,33,24,,6,W 3,2017,17565.0,2:25,
64,2017-03-02,,New York Rangers,1,2,L,,33,25,,6,L 1,2017,17565.0,2:30,
65,2017-03-04,,New Jersey Devils,3,2,W,,34,25,,6,W 1,2017,17565.0,2:41,
66,2017-03-06,@,Ottawa Senators,2,4,L,,34,26,,6,L 1,2017,17046.0,2:28,
67,2017-03-08,,Detroit Red Wings,6,1,W,,35,26,,6,W 1,2017,17565.0,2:29,
68,2017-03-11,,Philadelphia Flyers,2,1,W,,36,26,,6,W 2,2017,17565.0,2:39,
69,2017-03-13,@,Vancouver Canucks,6,3,W,,37,26,,6,W 3,2017,18865.0,2:34,
70,2017-03-15,@,Calgary Flames,5,2,W,,38,26,,6,W 4,2017,18892.0,2:27,
71,2017-03-16,@,Edmonton Oilers,4,7,L,,38,27,,6,L 1,2017,18347.0,2:39,
72,2017-03-20,@,Toronto Maple Leafs,2,4,L,,38,28,,6,L 2,2017,19347.0,2:38,
73,2017-03-21,,Ottawa Senators,2,3,L,,38,29,,6,L 3,2017,17565.0,2:37,
74,2017-03-23,,Tampa Bay Lightning,3,6,L,,38,30,,6,L 4,2017,17565.0,2:48,
75,2017-03-25,@,New York Islanders,2,1,W,,39,30,,6,W 1,2017,15795.0,2:28,
76,2017-03-28,,Nashville Predators,4,1,W,,40,30,,6,W 2,2017,17565.0,3:05,
77,2017-03-30,,Dallas Stars,2,0,W,,41,30,,6,W 3,2017,17565.0,2:29,
78,2017-04-01,,Florida Panthers,5,2,W,,42,30,,6,W 4,2017,17565.0,2:30,
79,2017-04-02,@,Chicago Blackhawks,3,2,W,,43,30,,6,W 5,2017,22131.0,2:36,
80,2017-04-04,,Tampa Bay Lightning,4,0,W,,44,30,,6,W 6,2017,17565.0,2:25,
81,2017-04-06,,Ottawa Senators,1,2,L,SO,44,30,,7,L 1,2017,17565.0,2:38,
82,2017-04-08,,Washington Capitals,1,3,L,,44,31,,7,L 2,2017,17565.0,2:34,
1,2017-10-05,,Nashville Predators,4,3,W,,1,0,,0,W 1,2018,17565.0,2:39,
2,2017-10-09,,Colorado Avalanche,0,4,L,,1,1,,0,L 1,2018,17565.0,2:28,
3,2017-10-11,@,Colorado Avalanche,3,6,L,,1,2,,0,L 2,2018,18011.0,2:38,
4,2017-10-14,@,Arizona Coyotes,6,2,W,,2,2,,0,W 1,2018,14810.0,2:31,
5,2017-10-15,@,Vegas Golden Knights,1,3,L,,2,3,,0,L 1,2018,17562.0,2:31,
6,2017-10-19,,Vancouver Canucks,6,3,W,,3,3,,0,W 1,2018,17565.0,2:34,
7,2017-10-21,,Buffalo Sabres,4,5,L,OT,3,3,,1,L 1,2018,17565.0,2:43,
8,2017-10-26,,San Jose Sharks,2,1,W,,4,3,,1,W 1,2018,17565.0,2:31,
9,2017-10-28,,Los Angeles Kings,1,2,L,OT,4,3,,2,L 1,2018,17565.0,2:47,
10,2017-10-30,@,Columbus Blue Jackets,3,4,L,SO,4,3,,3,L 2,2018,13396.0,2:42,
11,2017-11-02,,Vegas Golden Knights,2,1,W,,5,3,,3,W 1,2018,17565.0,2:27,
12,2017-11-04,,Washington Capitals,2,3,L,,5,4,,3,L 1,2018,17565.0,2:26,
13,2017-11-06,,Minnesota Wild,5,3,W,,6,4,,3,W 1,2018,17565.0,2:40,
14,2017-11-08,@,New York Rangers,2,4,L,,6,5,,3,L 1,2018,18006.0,2:25,
15,2017-11-10,@,Toronto Maple Leafs,2,3,L,OT,6,5,,4,L 2,2018,19381.0,2:53,
16,2017-11-11,,Toronto Maple Leafs,1,4,L,,6,6,,4,L 3,2018,17565.0,2:34,
17,2017-11-15,@,Anaheim Ducks,2,4,L,,6,7,,4,L 4,2018,15089.0,2:30,
18,2017-11-16,@,Los Angeles Kings,2,1,W,,7,7,,4,W 1,2018,18230.0,2:36,
19,2017-11-18,@,San Jose Sharks,3,1,W,,8,7,,4,W 2,2018,17442.0,2:36,
20,2017-11-22,@,New Jersey Devils,3,2,W,SO,9,7,,4,W 3,2018,16514.0,2:51,
21,2017-11-24,,Pittsburgh Penguins,4,3,W,,10,7,,4,W 4,2018,17565.0,2:34,
22,2017-11-26,,Edmonton Oilers,2,4,L,,10,8,,4,L 1,2018,17565.0,2:20,
23,2017-11-29,,Tampa Bay Lightning,3,2,W,,11,8,,4,W 1,2018,17565.0,2:41,
24,2017-12-02,@,Philadelphia Flyers,3,0,W,,12,8,,4,W 2,2018,19274.0,2:24,
25,2017-12-04,@,Nashville Predators,3,5,L,,12,9,,4,L 1,2018,17113.0,2:38,
26,2017-12-07,,Arizona Coyotes,6,1,W,,13,9,,4,W 1,2018,17565.0,2:32,
27,2017-12-09,,New York Islanders,3,1,W,,14,9,,4,W 2,2018,17565.0,2:31,
28,2017-12-13,@,Detroit Red Wings,3,2,W,OT,15,9,,4,W 3,2018,19515.0,2:34,"at Little Caesars Arena (Detroit, MI)"
29,2017-12-14,,Washington Capitals,3,5,L,,15,10,,4,L 1,2018,17565.0,2:37,
30,2017-12-16,,New York Rangers,2,3,L,OT,15,10,,5,L 2,2018,17565.0,2:38,
31,2017-12-18,,Columbus Blue Jackets,7,2,W,,16,10,,5,W 1,2018,17565.0,2:35,
32,2017-12-19,@,Buffalo Sabres,3,0,W,,17,10,,5,W 2,2018,17811.0,2:28,
33,2017-12-21,,Winnipeg Jets,2,1,W,SO,18,10,,5,W 3,2018,17565.0,2:41,
34,2017-12-23,,Detroit Red Wings,3,1,W,,19,10,,5,W 4,2018,17565.0,2:27,
35,2017-12-27,,Ottawa Senators,5,1,W,,20,10,,5,W 5,2018,17565.0,2:19,
36,2017-12-28,@,Washington Capitals,3,4,L,SO,20,10,,6,L 1,2018,18506.0,2:46,
37,2017-12-30,@,Ottawa Senators,5,0,W,,21,10,,6,W 1,2018,17579.0,2:26,
38,2018-01-02,@,New York Islanders,5,1,W,,22,10,,6,W 2,2018,11878.0,2:23,
39,2018-01-06,,Carolina Hurricanes,7,1,W,,23,10,,6,W 3,2018,17565.0,2:25,
40,2018-01-07,@,Pittsburgh Penguins,5,6,L,OT,23,10,,7,L 1,2018,18553.0,2:36,
41,2018-01-13,@,Montreal Canadiens,4,3,W,SO,24,10,,7,W 1,2018,21302.0,2:59,
42,2018-01-15,,Dallas Stars,2,3,L,OT,24,10,,8,L 1,2018,17565.0,2:40,
43,2018-01-17,,Montreal Canadiens,4,1,W,,25,10,,8,W 1,2018,17565.0,2:32,
44,2018-01-18,@,New York Islanders,5,2,W,,26,10,,8,W 2,2018,11803.0,2:26,
45,2018-01-20,@,Montreal Canadiens,4,1,W,,27,10,,8,W 3,2018,21302.0,2:44,
46,2018-01-23,,New Jersey Devils,3,2,W,,28,10,,8,W 4,2018,17565.0,2:45,
47,2018-01-25,@,Ottawa Senators,3,2,W,,29,10,,8,W 5,2018,15232.0,2:27,
48,2018-01-30,,Anaheim Ducks,1,3,L,,29,11,,8,L 1,2018,17565.0,2:32,
49,2018-02-01,,St. Louis Blues,3,1,W,,30,11,,8,W 1,2018,17565.0,2:32,
50,2018-02-03,,Toronto Maple Leafs,4,1,W,,31,11,,8,W 2,2018,17565.0,2:31,
51,2018-02-06,@,Detroit Red Wings,3,2,W,,32,11,,8,W 3,2018,19515.0,2:26,"at Little Caesars Arena (Detroit, MI)"
52,2018-02-07,@,New York Rangers,6,1,W,,33,11,,8,W 4,2018,18006.0,2:21,
53,2018-02-10,,Buffalo Sabres,2,4,L,,33,12,,8,L 1,2018,17565.0,2:27,
54,2018-02-11,@,New Jersey Devils,5,3,W,,34,12,,8,W 1,2018,16514.0,2:34,
55,2018-02-13,,Calgary Flames,5,2,W,,35,12,,8,W 2,2018,17565.0,2:33,
56,2018-02-17,@,Vancouver Canucks,1,6,L,,35,13,,8,L 1,2018,18865.0,2:28,
57,2018-02-19,@,Calgary Flames,2,1,W,OT,36,13,,8,W 1,2018,19289.0,2:35,
58,2018-02-20,@,Edmonton Oilers,3,2,W,,37,13,,8,W 2,2018,18347.0,2:29,
59,2018-02-24,@,Toronto Maple Leafs,3,4,L,,37,14,,8,L 1,2018,19370.0,2:35,
60,2018-02-25,@,Buffalo Sabres,1,4,L,,37,15,,8,L 2,2018,18522.0,2:28,
61,2018-02-27,,Carolina Hurricanes,4,3,W,OT,38,15,,8,W 1,2018,17565.0,2:31,
62,2018-03-01,,Pittsburgh Penguins,8,4,W,,39,15,,8,W 2,2018,17565.0,2:49,
63,2018-03-03,,Montreal Canadiens,2,1,W,OT,40,15,,8,W 3,2018,17565.0,2:41,
64,2018-03-06,,Detroit Red Wings,6,5,W,OT,41,15,,8,W 4,2018,17565.0,2:43,
65,2018-03-08,,Philadelphia Flyers,3,2,W,,42,15,,8,W 5,2018,17565.0,2:33,
66,2018-03-10,,Chicago Blackhawks,7,4,W,,43,15,,8,W 6,2018,17565.0,2:33,
67,2018-03-11,@,Chicago Blackhawks,1,3,L,,43,16,,8,L 1,2018,21819.0,2:27,
68,2018-03-13,@,Carolina Hurricanes,6,4,W,,44,16,,8,W 1,2018,13081.0,2:40,
69,2018-03-15,@,Florida Panthers,0,3,L,,44,17,,8,L 1,2018,16067.0,2:35,
70,2018-03-17,@,Tampa Bay Lightning,3,0,W,,45,17,,8,W 1,2018,19092.0,2:22,
71,2018-03-19,,Columbus Blue Jackets,4,5,L,OT,45,17,,9,L 1,2018,17565.0,2:34,
72,2018-03-21,@,St. Louis Blues,1,2,L,OT,45,17,,10,L 2,2018,18423.0,2:26,
73,2018-03-23,@,Dallas Stars,3,2,W,,46,17,,10,W 1,2018,18532.0,2:34,
74,2018-03-25,@,Minnesota Wild,2,1,W,OT,47,17,,10,W 2,2018,19183.0,2:33,
75,2018-03-27,@,Winnipeg Jets,4,5,L,SO,47,17,,11,L 1,2018,15321.0,3:16,
76,2018-03-29,,Tampa Bay Lightning,4,2,W,,48,17,,11,W 1,2018,17565.0,2:50,
77,2018-03-31,,Florida Panthers,5,1,W,,49,17,,11,W 2,2018,17565.0,2:43,
78,2018-04-01,@,Philadelphia Flyers,3,4,L,OT,49,17,,12,L 1,2018,19904.0,2:29,
79,2018-04-03,@,Tampa Bay Lightning,0,4,L,,49,18,,12,L 2,2018,19092.0,2:30,
80,2018-04-05,@,Florida Panthers,2,3,L,,49,19,,12,L 3,2018,14860.0,2:34,
81,2018-04-07,,Ottawa Senators,5,2,W,,50,19,,12,W 1,2018,17565.0,2:27,
82,2018-04-08,,Florida Panthers,2,4,L,,50,20,,12,L 1,2018,17565.0,2:30,
1,2018-10-03,@,Washington Capitals,0,7,L,,0,1,,0,L 1,2019,18506.0,2:30,
2,2018-10-04,@,Buffalo Sabres,4,0,W,,1,1,,0,W 1,2019,19070.0,2:35,
3,2018-10-08,,Ottawa Senators,6,3,W,,2,1,,0,W 2,2019,17565.0,2:33,
4,2018-10-11,,Edmonton Oilers,4,1,W,,3,1,,0,W 3,2019,17565.0,2:28,
5,2018-10-13,,Detroit Red Wings,8,2,W,,4,1,,0,W 4,2019,17565.0,2:40,
6,2018-10-17,@,Calgary Flames,2,5,L,,4,2,,0,L 1,2019,17641.0,2:25,
7,2018-10-18,@,Edmonton Oilers,2,3,L,OT,4,2,,1,L 2,2019,18347.0,2:26,
8,2018-10-20,@,Vancouver Canucks,1,2,L,OT,4,2,,2,L 3,2019,17871.0,2:30,
9,2018-10-23,@,Ottawa Senators,4,1,W,,5,2,,2,W 1,2019,15265.0,2:31,
10,2018-10-25,,Philadelphia Flyers,3,0,W,,6,2,,2,W 2,2019,17565.0,2:32,
11,2018-10-27,,Montreal Canadiens,0,3,L,,6,3,,2,L 1,2019,17565.0,2:37,
12,2018-10-30,@,Carolina Hurricanes,3,2,W,,7,3,,2,W 1,2019,11357.0,2:37,
13,2018-11-03,@,Nashville Predators,0,1,L,,7,4,,2,L 1,2019,17535.0,2:38,
14,2018-11-05,,Dallas Stars,2,1,W,OT,8,4,,2,W 1,2019,17565.0,2:34,
15,2018-11-08,,Vancouver Canucks,5,8,L,,8,5,,2,L 1,2019,17565.0,2:38,
16,2018-11-10,,Toronto Maple Leafs,5,1,W,,9,5,,2,W 1,2019,17565.0,2:34,
17,2018-11-11,,Vegas Golden Knights,4,1,W,,10,5,,2,W 2,2019,17565.0,2:30,
18,2018-11-14,@,Colorado Avalanche,3,6,L,,10,6,,2,L 1,2019,16124.0,2:20,
19,2018-11-16,@,Dallas Stars,0,1,L,OT,10,6,,3,L 2,2019,18532.0,2:37,
20,2018-11-17,@,Arizona Coyotes,2,1,W,,11,6,,3,W 1,2019,16386.0,2:23,
21,2018-11-21,@,Detroit Red Wings,2,3,L,OT,11,6,,4,L 1,2019,19515.0,2:29,"at Little Caesars Arena (Detroit, MI)"
22,2018-11-23,,Pittsburgh Penguins,2,1,W,OT,12,6,,4,W 1,2019,17565.0,2:41,
23,2018-11-24,@,Montreal Canadiens,3,2,W,,13,6,,4,W 2,2019,21302.0,2:37,
24,2018-11-26,@,Toronto Maple Leafs,2,4,L,,13,7,,4,L 1,2019,19286.0,2:27,
25,2018-11-29,,New York Islanders,2,1,W,SO,14,7,,4,W 1,2019,17565.0,2:42,
26,2018-12-01,,Detroit Red Wings,2,4,L,,14,8,,4,L 1,2019,17565.0,2:40,
27,2018-12-04,@,Florida Panthers,0,5,L,,14,9,,4,L 2,2019,12058.0,2:40,
28,2018-12-06,@,Tampa Bay Lightning,2,3,L,,14,10,,4,L 3,2019,19092.0,2:24,
29,2018-12-08,,Toronto Maple Leafs,6,3,W,,15,10,,4,W 1,2019,17565.0,2:39,
30,2018-12-09,@,Ottawa Senators,2,1,W,OT,16,10,,4,W 2,2019,13148.0,2:33,
31,2018-12-11,,Arizona Coyotes,4,3,W,,17,10,,4,W 3,2019,17565.0,2:35,
32,2018-12-14,@,Pittsburgh Penguins,3,5,L,,17,11,,4,L 1,2019,18549.0,2:32,
33,2018-12-16,,Buffalo Sabres,2,4,L,,17,12,,4,L 2,2019,17565.0,2:34,
34,2018-12-17,@,Montreal Canadiens,4,0,W,,18,12,,4,W 1,2019,21302.0,2:22,
35,2018-12-20,,Anaheim Ducks,3,1,W,,19,12,,4,W 2,2019,17565.0,2:30,
36,2018-12-22,,Nashville Predators,5,2,W,,20,12,,4,W 3,2019,17565.0,2:33,
37,2018-12-23,@,Carolina Hurricanes,3,5,L,,20,13,,4,L 1,2019,17491.0,2:37,
38,2018-12-27,,New Jersey Devils,2,5,L,,20,14,,4,L 2,2019,17565.0,2:31,
39,2018-12-29,@,Buffalo Sabres,3,2,W,OT,21,14,,4,W 1,2019,19070.0,2:29,
40,2019-01-01,@,Chicago Blackhawks,4,2,W,,22,14,,4,W 2,2019,76126.0,2:37,"at Notre Dame Stadium (Notre Dame, IN)"
41,2019-01-03,,Calgary Flames,6,4,W,,23,14,,4,W 3,2019,17565.0,2:23,
42,2019-01-05,,Buffalo Sabres,2,1,W,,24,14,,4,W 4,2019,17565.0,2:31,
43,2019-01-08,,Minnesota Wild,4,0,W,,25,14,,4,W 5,2019,17565.0,2:28,
44,2019-01-10,,Washington Capitals,2,4,L,,25,15,,4,L 1,2019,17565.0,2:35,
45,2019-01-12,@,Toronto Maple Leafs,3,2,W,,26,15,,4,W 1,2019,19305.0,2:24,
46,2019-01-14,,Montreal Canadiens,2,3,L,OT,26,15,,5,L 1,2019,17565.0,2:37,
47,2019-01-16,@,Philadelphia Flyers,3,4,L,,26,16,,5,L 2,2019,19297.0,2:55,
48,2019-01-17,,St. Louis Blues,5,2,W,,27,16,,5,W 1,2019,17565.0,2:24,
49,2019-01-19,,New York Rangers,2,3,L,,27,17,,5,L 1,2019,17565.0,2:39,
50,2019-01-29,,Winnipeg Jets,3,4,L,SO,27,17,,6,L 2,2019,17565.0,2:52,
51,2019-01-31,,Philadelphia Flyers,2,3,L,OT,27,17,,7,L 3,2019,17565.0,2:34,
52,2019-02-03,@,Washington Capitals,1,0,W,,28,17,,7,W 1,2019,18506.0,2:22,
53,2019-02-05,,New York Islanders,3,1,W,,29,17,,7,W 2,2019,17565.0,2:33,
54,2019-02-06,@,New York Rangers,3,4,L,SO,29,17,,8,L 1,2019,16848.0,2:49,
55,2019-02-09,,Los Angeles Kings,5,4,W,OT,30,17,,8,W 1,2019,17565.0,2:32,
56,2019-02-10,,Colorado Avalanche,2,1,W,OT,31,17,,8,W 2,2019,17565.0,2:38,
57,2019-02-12,,Chicago Blackhawks,6,3,W,,32,17,,8,W 3,2019,17565.0,2:32,
58,2019-02-15,@,Anaheim Ducks,3,0,W,,33,17,,8,W 4,2019,17174.0,2:23,
59,2019-02-16,@,Los Angeles Kings,4,2,W,,34,17,,8,W 5,2019,18230.0,2:22,
60,2019-02-18,@,San Jose Sharks,6,5,W,OT,35,17,,8,W 6,2019,17562.0,2:43,
61,2019-02-20,@,Vegas Golden Knights,3,2,W,SO,36,17,,8,W 7,2019,18222.0,2:38,
62,2019-02-23,@,St. Louis Blues,1,2,L,SO,36,17,,9,L 1,2019,18425.0,2:39,
63,2019-02-26,,San Jose Sharks,4,1,W,,37,17,,9,W 1,2019,17565.0,2:26,
64,2019-02-28,,Tampa Bay Lightning,4,1,W,,38,17,,9,W 2,2019,17565.0,2:25,
65,2019-03-02,,New Jersey Devils,1,0,W,,39,17,,9,W 3,2019,17565.0,2:21,
66,2019-03-05,,Carolina Hurricanes,4,3,W,OT,40,17,,9,W 4,2019,17565.0,2:38,
67,2019-03-07,,Florida Panthers,4,3,W,,41,17,,9,W 5,2019,17565.0,2:29,
68,2019-03-09,,Ottawa Senators,3,2,W,,42,17,,9,W 6,2019,17565.0,2:20,
69,2019-03-10,@,Pittsburgh Penguins,2,4,L,,42,18,,9,L 1,2019,18578.0,2:29,
70,2019-03-12,@,Columbus Blue Jackets,4,7,L,,42,19,,9,L 2,2019,16554.0,2:30,
71,2019-03-14,@,Winnipeg Jets,3,4,L,,42,20,,9,L 3,2019,15321.0,2:28,
72,2019-03-16,,Columbus Blue Jackets,2,1,W,OT,43,20,,9,W 1,2019,17565.0,2:33,
73,2019-03-19,@,New York Islanders,5,0,W,,44,20,,9,W 2,2019,13917.0,2:27,"at Nassau Veterans Memorial Coliseum (Uniondale, NY)"
74,2019-03-21,@,New Jersey Devils,5,1,W,,45,20,,9,W 3,2019,14649.0,2:19,
75,2019-03-23,@,Florida Panthers,7,3,W,,46,20,,9,W 4,2019,17129.0,2:34,
76,2019-03-25,@,Tampa Bay Lightning,4,5,L,,46,21,,9,L 1,2019,19092.0,2:29,
77,2019-03-27,,New York Rangers,6,3,W,,47,21,,9,W 1,2019,17565.0,2:36,
78,2019-03-30,,Florida Panthers,1,4,L,,47,22,,9,L 1,2019,17565.0,2:25,
79,2019-03-31,@,Detroit Red Wings,3,6,L,,47,23,,9,L 2,2019,19515.0,2:29,"at Little Caesars Arena (Detroit, MI)"
80,2019-04-02,@,Columbus Blue Jackets,6,2,W,,48,23,,9,W 1,2019,18890.0,2:32,
81,2019-04-04,@,Minnesota Wild,3,0,W,,49,23,,9,W 2,2019,19074.0,2:20,
